album_title,release_date,label,format, sales 
Growing Up,"April 23, 2009",LOEN Entertainment,"CD, digital download, streaming"," 22,382.00 "
Last Fantasy,"November 29, 2011",LOEN Entertainment,"CD, digital download, streaming"," 129,392.00 "
Modern Times,"October 8, 2013",LOEN Tree,"CD, digital download, streaming"," 68,160.00 "
Modern Times - Epilogue,"December 20, 2013",LOEN Tree,"CD, DVD, digital download, streaming"," 68,160.00 "
Palette,"April 21, 2017",Fave Entertainment,"CD, digital download, streaming"," 109,755.00 "
